Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2017-18 
CALPADS Fall 1 
Certification Status"
2017-2018,19,73460,1937747,Los Angeles,Walnut Valley Unified,Ron Hockwalt Academies (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,27,11,0.407407407,13,0.481481481,26,11,0.423076923,13,0.5,Y
2017-2018,19,73460,1939149,Los Angeles,Walnut Valley Unified,Walnut High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2527,538,0.212900673,607,0.240205778,2489,523,0.210124548,592,0.237846525,Y
2017-2018,19,75291,1995810,Los Angeles,San Gabriel Unified,Gabrielino High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1763,893,0.506522972,1058,0.600113443,1729,873,0.504916136,1035,0.598611914,Y
2017-2018,19,75309,0131557,Los Angeles,Acton-Agua Dulce Unified,Method Schools High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1697,Directly funded,Y,9,12,13,9,0.692307692,12,0.923076923,13,9,0.692307692,12,0.923076923,Y
2017-2018,19,75309,0134585,Los Angeles,Acton-Agua Dulce Unified,Pathways Academy Charter School Adult Education,Unified School District,High Schools (Public),Traditional,N/A,Yes,1828,Directly funded,Y,9,12,50,44,0.88,46,0.92,0,0,0,0,0,Y
2017-2018,19,75309,0136648,Los Angeles,Acton-Agua Dulce Unified,Options for Youth-Acton,Unified School District,High Schools (Public),Traditional,N/A,Yes,1911,Directly funded,Y,9,12,394,278,0.705583756,314,0.796954315,315,225,0.714285714,253,0.803174603,Y
2017-2018,19,75309,1995786,Los Angeles,Acton-Agua Dulce Unified,Vasquez High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,372,150,0.403225806,171,0.459677419,361,141,0.390581717,162,0.448753463,Y
2017-2018,19,75333,1935808,Los Angeles,Manhattan Beach Unified,Mira Costa High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2541,137,0.053915781,155,0.060999606,2433,134,0.055076038,151,0.062063296,Y
2017-2018,19,75341,0116285,Los Angeles,Redondo Beach Unified,Redondo Beach Learning Academy,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,9,12,7,6,0.857142857,6,0.857142857,6,5,0.833333333,5,0.833333333,Y
2017-2018,19,75341,1937143,Los Angeles,Redondo Beach Unified,Redondo Union High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2948,489,0.16587517,585,0.19843962,2885,480,0.166377816,573,0.198613518,Y
2017-2018,19,75341,1995752,Los Angeles,Redondo Beach Unified,Redondo Shores High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,63,24,0.380952381,30,0.476190476,55,19,0.345454545,23,0.418181818,Y
2017-2018,19,75713,1930122,Los Angeles,Alhambra Unified,Century High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,115,81,0.704347826,91,0.791304348,109,77,0.706422018,87,0.798165138,Y
2017-2018,19,75713,1930163,Los Angeles,Alhambra Unified,Alhambra High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2450,1444,0.589387755,1749,0.713877551,2411,1414,0.58647864,1718,0.712567399,Y
2017-2018,19,75713,1934553,Los Angeles,Alhambra Unified,Mark Keppel High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2286,1129,0.493875766,1355,0.592738408,2266,1115,0.492056487,1341,0.591791703,Y
2017-2018,19,75713,1937697,Los Angeles,Alhambra Unified,San Gabriel High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2151,1538,0.715016272,1729,0.80381218,2124,1512,0.711864407,1703,0.801789077,Y
2017-2018,19,75713,1995430,Los Angeles,Alhambra Unified,Independence High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,76,45,0.592105263,50,0.657894737,69,39,0.565217391,44,0.637681159,Y
2017-2018,19,76869,0119016,Los Angeles,Wiseburn Unified,Da Vinci Science,Unified School District,High Schools (Public),Traditional,N/A,Yes,1060,Directly funded,Y,9,12,537,154,0.286778399,185,0.344506518,507,148,0.291913215,178,0.351084813,Y
2017-2018,19,76869,0119636,Los Angeles,Wiseburn Unified,Da Vinci Design,Unified School District,High Schools (Public),Traditional,N/A,Yes,1081,Directly funded,Y,9,12,592,205,0.346283784,250,0.422297297,531,184,0.346516008,229,0.43126177,Y
2017-2018,19,76869,0131128,Los Angeles,Wiseburn Unified,Da Vinci Communications High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1689,Directly funded,Y,9,12,366,119,0.325136612,142,0.387978142,329,110,0.334346505,133,0.404255319,Y
2017-2018,19,76869,0135988,Los Angeles,Wiseburn Unified,RISE High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1865,Directly funded,Y,9,12,66,36,0.545454545,37,0.560606061,55,29,0.527272727,30,0.545454545,Y
2017-2018,19,76992,0133900,Los Angeles,SBE - Prepa Tec Los Angeles High,Prepa Tec Los Angeles High,State Board of Education,High Schools In 1 School Dist. (Public),Traditional,N/A,Yes,1789,Directly funded,N,9,12,224,175,0.78125,184,0.821428571,224,175,0.78125,184,0.821428571,Y
2017-2018,20,10207,2030229,Madera,Madera County Superintendent of Schools,Pioneer Technical Center,County Office of Education (COE),County Community,County Community School,N/A,Yes,0460,Locally funded,N,9,12,163,144,0.883435583,151,0.926380368,130,114,0.876923077,119,0.915384615,Y
2017-2018,20,65201,2030047,Madera,Chowchilla Union High,Gateway High (Continuation),High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,23,19,0.826086957,20,0.869565217,23,19,0.826086957,20,0.869565217,Y
2017-2018,20,65201,2032357,Madera,Chowchilla Union High,Chowchilla Union High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1090,664,0.609174312,744,0.682568807,1055,641,0.607582938,720,0.682464455,Y
2017-2018,20,65243,0110965,Madera,Madera Unified,Madera South High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,3156,2591,0.820975919,2899,0.918567807,3061,2514,0.821300229,2811,0.918327344,Y
2017-2018,20,65243,0118950,Madera,Madera Unified,Sherman Thomas Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1058,Directly funded,Y,9,12,57,25,0.438596491,33,0.578947368,55,24,0.436363636,31,0.563636364,Y
2017-2018,20,65243,2035707,Madera,Madera Unified,Madera High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,2092,1349,0.644837476,1601,0.765296367,2019,1294,0.640911342,1542,0.763744428,Y
2017-2018,20,75580,2030203,Madera,Golden Valley Unified,Liberty High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,541,183,0.338262477,215,0.3974122,510,168,0.329411765,200,0.392156863,Y
2017-2018,20,75606,0100180,Madera,Chawanakee Unified,Mountain Oaks High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,13,13,1,13,1,10,10,1,10,1,Y
2017-2018,20,75606,0117010,Madera,Chawanakee Unified,Minarets High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,186,94,0.505376344,101,0.543010753,180,92,0.511111111,99,0.55,Y
2017-2018,20,75606,0125021,Madera,Chawanakee Unified,Minarets Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1341,Locally funded,N,9,12,274,83,0.302919708,94,0.343065693,265,81,0.305660377,91,0.343396226,Y
2017-2018,20,76414,0115527,Madera,Yosemite Unified,Campbell High Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,9,12,3,2,0.666666667,2,0.666666667,2,2,1,2,1,Y
2017-2018,20,76414,2030013,Madera,Yosemite Unified,Yosemite High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,684,246,0.359649123,292,0.426900585,668,241,0.360778443,287,0.429640719,Y
2017-2018,20,76414,2030039,Madera,Yosemite Unified,Ahwahnee High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,22,17,0.772727273,18,0.818181818,19,16,0.842105263,17,0.894736842,Y
2017-2018,20,76414,2030070,Madera,Yosemite Unified,Raymond Granite High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,1,1,1,1,1,1,1,1,1,1,Y
2017-2018,20,76414,2030104,Madera,Yosemite Unified,Evergreen High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,30,19,0.633333333,19,0.633333333,24,18,0.75,18,0.75,Y
2017-2018,20,76414,2030237,Madera,Yosemite Unified,Glacier High School Charter,Unified School District,High Schools (Public),Traditional,N/A,Yes,0479,Directly funded,Y,9,12,120,43,0.358333333,47,0.391666667,118,43,0.36440678,47,0.398305085,Y
2017-2018,21,10215,2130102,Marin,Marin County Office of Education,Phoenix Academy,County Office of Education (COE),County Community,County Community School,N/A,Yes,0087,Locally funded,N,9,12,6,4,0.666666667,4,0.666666667,6,4,0.666666667,4,0.666666667,Y
2017-2018,21,65417,2132264,Marin,Novato Unified,Marin Oaks High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,67,43,0.641791045,49,0.731343284,44,24,0.545454545,28,0.636363636,Y
2017-2018,21,65417,2132272,Marin,Novato Unified,Novato High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1442,475,0.329403606,539,0.373786408,1390,449,0.323021583,509,0.36618705,Y
2017-2018,21,65417,2133056,Marin,Novato Unified,San Marin High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1100,243,0.220909091,291,0.264545455,1067,234,0.219306467,281,0.263355201,Y
2017-2018,21,65466,2133254,Marin,San Rafael City High,Madrone High Continuation,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,72,51,0.708333333,53,0.736111111,67,46,0.686567164,48,0.71641791,Y
2017-2018,21,65466,2133262,Marin,San Rafael City High,San Rafael High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1333,774,0.580645161,844,0.63315829,1292,743,0.575077399,813,0.629256966,Y
2017-2018,21,65466,2134005,Marin,San Rafael City High,Terra Linda High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1241,434,0.349717969,484,0.390008058,1206,416,0.344941957,465,0.385572139,Y
2017-2018,21,65482,2130078,Marin,Tamalpais Union High,Tamiscal High (Alternative),High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,107,14,0.130841121,17,0.158878505,103,13,0.126213592,16,0.155339806,Y
2017-2018,21,65482,2131340,Marin,Tamalpais Union High,Sir Francis Drake High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1203,135,0.112219451,146,0.121363259,1171,132,0.112724167,143,0.122117848,Y
2017-2018,21,65482,2132587,Marin,Tamalpais Union High,Redwood High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1836,140,0.076252723,159,0.086601307,1785,135,0.075630252,153,0.085714286,Y
2017-2018,21,65482,2133692,Marin,Tamalpais Union High,Tamalpais High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1584,171,0.107954545,181,0.114267677,1547,164,0.106011635,174,0.11247576,Y
2017-2018,21,73361,2134310,Marin,Shoreline Unified,Tomales High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,138,29,0.210144928,29,0.210144928,134,28,0.208955224,28,0.208955224,Y
2017-2018,22,65532,2230035,Mariposa,Mariposa County Unified,Spring Hill High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,13,11,0.846153846,11,0.846153846,12,11,0.916666667,11,0.916666667,Y
2017-2018,22,65532,2230076,Mariposa,Mariposa County Unified,Coulterville High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,11,7,0.636363636,9,0.818181818,11,7,0.636363636,9,0.818181818,Y
2017-2018,22,65532,2230084,Mariposa,Mariposa County Unified,Yosemite Park High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,3,2,0.666666667,3,1,3,2,0.666666667,3,1,Y
2017-2018,22,65532,2235356,Mariposa,Mariposa County Unified,Mariposa County High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,476,225,0.472689076,255,0.535714286,460,217,0.47173913,244,0.530434783,Y
2017-2018,23,65540,2330058,Mendocino,Anderson Valley Unified,Rancheria Continuation,Unified School District,Continuation High Schools,Continuation School,Lunch Provision 2,No ,N/A,N/A,N,9,12,14,12,0.857142857,12,0.857142857,13,11,0.846153846,11,0.846153846,Y
2017-2018,23,65565,2330215,Mendocino,Fort Bragg Unified,Noyo High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,15,13,0.866666667,14,0.933333333,15,13,0.866666667,14,0.933333333,Y
2017-2018,23,65565,2330355,Mendocino,Fort Bragg Unified,Lighthouse Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,9,12,22,20,0.909090909,20,0.909090909,22,20,0.909090909,20,0.909090909,Y
2017-2018,23,65565,2331361,Mendocino,Fort Bragg Unified,Fort Bragg High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,535,267,0.499065421,326,0.609345794,524,265,0.505725191,323,0.616412214,Y
2017-2018,23,65581,2330090,Mendocino,Mendocino Unified,Mendocino Sunrise High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,11,5,0.454545455,5,0.454545455,10,5,0.5,5,0.5,Y
2017-2018,23,65581,2333185,Mendocino,Mendocino Unified,Mendocino High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,180,58,0.322222222,59,0.327777778,177,57,0.322033898,58,0.327683616,Y
2017-2018,23,65599,2333649,Mendocino,Point Arena Joint Union High,Point Arena High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,142,72,0.507042254,88,0.61971831,139,70,0.503597122,85,0.611510791,Y
2017-2018,23,65607,2330033,Mendocino,Round Valley Unified,Round Valley Continuation,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,22,22,1,22,1,18,18,1,18,1,Y
2017-2018,23,65607,2334563,Mendocino,Round Valley Unified,Round Valley High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,89,89,1,89,1,86,86,1,86,1,Y
2017-2018,23,65615,2334704,Mendocino,Ukiah Unified,South Valley High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,130,105,0.807692308,110,0.846153846,106,86,0.811320755,91,0.858490566,Y
2017-2018,23,65615,2335024,Mendocino,Ukiah Unified,Ukiah High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1616,923,0.571163366,1046,0.647277228,1578,896,0.567807351,1017,0.644486692,Y
2017-2018,23,65623,2330066,Mendocino,Willits Unified,Sanhedrin High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,54,42,0.777777778,43,0.796296296,46,37,0.804347826,38,0.826086957,Y
2017-2018,23,65623,2335487,Mendocino,Willits Unified,Willits High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,438,282,0.643835616,305,0.696347032,423,270,0.638297872,293,0.692671395,Y
2017-2018,23,73866,2330041,Mendocino,Potter Valley Community Unified,Potter Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,62,35,0.564516129,37,0.596774194,58,32,0.551724138,34,0.586206897,Y
2017-2018,23,73916,2332260,Mendocino,Laytonville Unified,Laytonville High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,108,60,0.555555556,66,0.611111111,106,59,0.556603774,65,0.613207547,Y
2017-2018,23,75218,2330207,Mendocino,Leggett Valley Unified,Whale Gulch High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,14,8,0.571428571,8,0.571428571,14,8,0.571428571,8,0.571428571,Y
2017-2018,23,75218,2332724,Mendocino,Leggett Valley Unified,Leggett Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,18,9,0.5,11,0.611111111,18,9,0.5,11,0.611111111,Y
2017-2018,24,65698,2430080,Merced,Hilmar Unified,Irwin High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,29,24,0.827586207,25,0.862068966,25,20,0.8,21,0.84,Y
2017-2018,24,65698,2430106,Merced,Hilmar Unified,Colony Basic Skills Alternative High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,10,5,0.5,5,0.5,9,4,0.444444444,4,0.444444444,Y
2017-2018,24,65698,2432409,Merced,Hilmar Unified,Hilmar High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,673,308,0.457652303,363,0.539375929,655,301,0.459541985,351,0.535877863,Y
2017-2018,24,65730,2430064,Merced,Le Grand Union High,Granada High,High School District,Continuation High Schools,Continuation School,Provision 2,No ,N/A,N/A,N,9,12,32,22,0.6875,26,0.8125,28,18,0.642857143,22,0.785714286,Y
2017-2018,24,65730,2433001,Merced,Le Grand Union High,Le Grand High,High School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,469,327,0.697228145,360,0.767590618,449,313,0.697104677,345,0.768374165,Y
2017-2018,24,65755,0120923,Merced,Los Banos Unified,Pacheco High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1709,853,0.499122294,895,0.523698069,1676,835,0.498210024,877,0.52326969,Y
2017-2018,24,65755,2431492,Merced,Los Banos Unified,San Luis High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,96,65,0.677083333,65,0.677083333,78,51,0.653846154,51,0.653846154,Y
2017-2018,24,65755,2434207,Merced,Los Banos Unified,Los Banos High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1385,630,0.454873646,662,0.477978339,1348,616,0.456973294,648,0.480712166,Y
2017-2018,24,65789,0107672,Merced,Merced Union High,Sequoia High,High School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,9,12,101,92,0.910891089,97,0.96039604,101,92,0.910891089,97,0.96039604,Y
2017-2018,24,65789,0127373,Merced,Merced Union High,El Capitan High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1664,1020,0.612980769,1160,0.697115385,1639,1002,0.611348383,1141,0.696156193,Y
2017-2018,24,65789,2430049,Merced,Merced Union High,Independence High (Alternative),High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,47,33,0.70212766,34,0.723404255,44,30,0.681818182,31,0.704545455,Y
2017-2018,24,65789,2430098,Merced,Merced Union High,Golden Valley High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1792,1291,0.720424107,1473,0.821986607,1745,1256,0.719770774,1434,0.821776504,Y
2017-2018,24,65789,2430205,Merced,Merced Union High,Buhach Colony High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1855,1112,0.599460916,1311,0.706738544,1818,1082,0.595159516,1281,0.704620462,Y
2017-2018,24,65789,2430601,Merced,Merced Union High,Atwater High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1826,1260,0.690032859,1484,0.812705367,1776,1223,0.688626126,1440,0.810810811,Y
2017-2018,24,65789,2433605,Merced,Merced Union High,Livingston High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1215,864,0.711111111,1044,0.859259259,1187,840,0.707666386,1019,0.858466723,Y
2017-2018,24,65789,2435204,Merced,Merced Union High,Merced High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1729,1167,0.674956622,1334,0.771544245,1687,1134,0.67219917,1298,0.769413159,Y
2017-2018,24,65789,2439602,Merced,Merced Union High,Yosemite High (Continuation),High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,312,277,0.887820513,296,0.948717949,236,217,0.919491525,227,0.961864407,Y
2017-2018,24,73619,2430031,Merced,Gustine Unified,Pioneer High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,22,15,0.681818182,16,0.727272727,19,13,0.684210526,14,0.736842105,Y
2017-2018,24,73619,2431807,Merced,Gustine Unified,Gustine High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,595,385,0.647058824,417,0.700840336,581,377,0.648881239,409,0.703958692,Y
2017-2018,24,75317,2430015,Merced,Dos Palos Oro Loma Joint Unified,Westside High,Unified School District,Continuation High Schools,Continuation School,Provision 2,No ,N/A,N/A,N,9,12,51,41,0.803921569,44,0.862745098,42,32,0.761904762,35,0.833333333,Y
2017-2018,24,75317,2431203,Merced,Dos Palos Oro Loma Joint Unified,Dos Palos High,Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,674,430,0.637982196,518,0.768545994,642,403,0.627725857,490,0.763239875,Y
2017-2018,24,75366,2430114,Merced,Delhi Unified,Delhi High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,750,567,0.756,629,0.838666667,711,533,0.749648383,593,0.834036568,Y
2017-2018,25,73585,2530020,Modoc,Modoc Joint Unified,Warner High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,4,3,0.75,4,1,4,3,0.75,4,1,Y
2017-2018,25,73585,2535409,Modoc,Modoc Joint Unified,Modoc High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,252,126,0.5,141,0.55952381,245,122,0.497959184,137,0.559183673,Y
2017-2018,26,10264,0124990,Mono,Mono County Office of Education,Urban Corps of San Diego County Charter,County Office of Education (COE),High Schools (Public),Traditional,Provision 2,Yes,1355,Locally funded,Y,9,12,260,258,0.992307692,258,0.992307692,0,0,0,0,0,Y
2017-2018,26,73668,2633006,Mono,Eastern Sierra Unified,Coleville High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,62,23,0.370967742,33,0.532258065,61,23,0.37704918,33,0.540983607,Y
2017-2018,26,73668,2635001,Mono,Eastern Sierra Unified,Lee Vining High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,35,13,0.371428571,21,0.6,35,13,0.371428571,21,0.6,Y
2017-2018,26,73692,2630010,Mono,Mammoth Unified,Mammoth High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,367,124,0.337874659,169,0.460490463,359,120,0.334261838,164,0.456824513,Y
2017-2018,27,10272,0125765,Monterey,Monterey County Office of Education,Millennium Charter High,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,1392,Directly funded,Y,9,12,147,28,0.19047619,28,0.19047619,138,28,0.202898551,28,0.202898551,Y
2017-2018,27,65979,0136010,Monterey,Bradley Union Elementary,Uplift California South Charter,Elementary School District,High Schools (Public),Traditional,N/A,Yes,1875,Directly funded,Y,9,12,46,22,0.47826087,26,0.565217391,20,10,0.5,12,0.6,Y
2017-2018,27,65979,0136218,Monterey,Bradley Union Elementary,Uplift California North Charter,Elementary School District,High Schools (Public),Traditional,N/A,Yes,1876,Directly funded,Y,9,12,14,8,0.571428571,9,0.642857143,10,6,0.6,7,0.7,Y
2017-2018,27,65987,2730018,Monterey,Carmel Unified,Carmel Valley High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,19,6,0.315789474,6,0.315789474,14,6,0.428571429,6,0.428571429,Y
2017-2018,27,65987,2730414,Monterey,Carmel Unified,Carmel High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,867,123,0.141868512,145,0.167243368,838,120,0.143198091,141,0.168257757,Y
2017-2018,27,66068,0134254,Monterey,South Monterey County Joint Union High,Pinnacle Academy Charter - Independent Study,High School District,High Schools (Public),Traditional,N/A,Yes,1821,Locally funded,N,9,12,62,45,0.725806452,45,0.725806452,57,41,0.719298246,41,0.719298246,Y
2017-2018,27,66068,2730083,Monterey,South Monterey County Joint Union High,Portola-Butler Continuation High,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,52,43,0.826923077,45,0.865384615,46,37,0.804347826,39,0.847826087,Y
2017-2018,27,66068,2730174,Monterey,South Monterey County Joint Union High,Greenfield High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1174,931,0.793015332,1008,0.858603066,1144,906,0.791958042,982,0.858391608,Y
2017-2018,27,66068,2732170,Monterey,South Monterey County Joint Union High,King City High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1076,725,0.673791822,812,0.75464684,1039,699,0.672762271,784,0.754571704,Y
2017-2018,27,66092,0111435,Monterey,Monterey Peninsula Unified,Marina High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,557,295,0.52962298,372,0.667863555,537,279,0.519553073,355,0.661080074,Y
2017-2018,27,66092,0112896,Monterey,Monterey Peninsula Unified,Monterey Peninsula Unified School District Community Day,Unified School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,9,12,10,10,1,10,1,10,10,1,10,1,Y
2017-2018,27,66092,2732253,Monterey,Monterey Peninsula Unified,Central Coast High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,85,54,0.635294118,64,0.752941176,71,44,0.61971831,54,0.76056338,Y
2017-2018,27,66092,2732808,Monterey,Monterey Peninsula Unified,Monterey High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1306,508,0.388973966,640,0.490045942,1274,496,0.389324961,627,0.492150706,Y
2017-2018,27,66092,2735348,Monterey,Monterey Peninsula Unified,Seaside High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1124,674,0.599644128,826,0.734875445,1060,645,0.608490566,793,0.748113208,Y
2017-2018,27,66134,2731115,Monterey,Pacific Grove Unified,Community High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,18,11,0.611111111,12,0.666666667,16,11,0.6875,11,0.6875,Y
2017-2018,27,66134,2733657,Monterey,Pacific Grove Unified,Pacific Grove High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,619,113,0.182552504,136,0.219709208,591,104,0.175972927,126,0.21319797,Y
2017-2018,27,66159,2730109,Monterey,Salinas Union High,Alisal High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2838,1989,0.700845666,2309,0.813601128,2769,1955,0.706031058,2271,0.820151679,Y
